id, name, gauge, op, scene
1,"Acacia Avenue", "OO", 2, B
2,"Bath Green Park", "OO", 4, A
3,"Bodmin North", "O", NA, C
4,"Broadford", "OO", 2,D
5,"Burnham", "OO", 2,B
6,"BWD", "OO", NA, NA
7,"Chalworth", "O", 1,D
8, "Coaley Junction", "OO", 3, D
9, "Downton Bishop", "OO9", 2, E
10, "Caleford Cr Station", "N", 0, D
13,"Exeter N-Gauge Main Line", "N",4,C
14,"Exeter N-Gauge Treleaven's Folly", "N", 3,E
15, "Exe MRS, DCC demo", "OO", 3,E
16,"Exe MRS, Okehampton", "N", 4,D
17,"Fourlaynes 3","N", NA, NA
18,"Fourlaynes 4","N", NA, NA
19, "Hounslow Sidings", "OO", 0, A
20, "Kingswear", "N", 2, A
21, "Lakebank", "N", 4, B
22, "Marrowbone Junction", "OO", 4, C
23, "Marsh Green Road", "OO", 2, C
24, "Minster Bottom", "N", 2, E
25, "Numchen", "N", 6, C
26, "Penhallick Junction", "OO", 2, B
27, "RS Tower & Guisburgh Depot", "OO", 5, D
28, "Ryan's Mill", "O", 3, D
29, "St Frazal de Pantalun", 0, C
30, "Southurst", "OO", 3, C
31, "Dingsdabumster", "OO", NA, NA
32, "Drag Lair", "OO9", 1, D
33, "Lienz", "OO", NA, NA
34, "Mortimer's Cross", "OO9", 2, B
35, "Trevellyn Bridge", "OO9", 2, A
36, "Whimsey", "OO", NA, NA
37, "The Junction", "N", 2, D
38, "Wychwaye", "O", NA, B

